id_game,date_game
0022000001,2020-12-22
0022000007,2020-12-25
0022000032,2020-12-27
0022000042,2020-12-28
0022000057,2020-12-30
0022000072,2021-01-01
0022000086,2021-01-03
0022000102,2021-01-05
0022000118,2021-01-07
0022000128,2021-01-08
0022000143,2021-01-10
0022000158,2021-01-12
0022000168,2021-01-13
0022000190,2021-01-16
0022000209,2021-01-18
0022000216,2021-01-20
0022000232,2021-01-22
0022000244,2021-01-23
0022000260,2021-01-25
0022000274,2021-01-27
0022000295,2021-01-29
0022000310,2021-01-31
0022000324,2021-02-02
0022000345,2021-02-05
0022000354,2021-02-06
0022000375,2021-02-09
0022000383,2021-02-10
0022000409,2021-02-13
0022000426,2021-02-15
0022000433,2021-02-16
0022000446,2021-02-18
0022000472,2021-02-21
0022000482,2021-02-23
0022000499,2021-02-25
0022000519,2021-02-27
0022000534,2021-03-01
0022000546,2021-03-03
0022000569,2021-03-11
0022000587,2021-03-13
0022000604,2021-03-15
0022000617,2021-03-17
0022000633,2021-03-19
0022000647,2021-03-21
0022000666,2021-03-23
0022000676,2021-03-24
0022000683,2021-03-26
0022000709,2021-03-29
0022000724,2021-03-31
0022000732,2021-04-01
0022000755,2021-04-04
0022000762,2021-04-05
0022000779,2021-04-07
0022000800,2021-04-10
0022000817,2021-04-13
0022000830,2021-04-14
0022000848,2021-04-16
0022000863,2021-04-18
0022000878,2021-04-20
0022000884,2021-04-21
0022000899,2021-04-23
0022000912,2021-04-25
0022000930,2021-04-27
0022000944,2021-04-29
0022000952,2021-04-30
0022000967,2021-05-02
0022000985,2021-05-04
0022000998,2021-05-06
0022001015,2021-05-08
0022001036,2021-05-11
0022001043,2021-05-12
0022001060,2021-05-15
0022001067,2021-05-16
